SUPT4H1 	HTATIP2
PGR 	COL4A3BP
ARHGAP11A 	GFRA3
ROS1 	HBEGF
CD5 	FGF12
TXNIP 	NSUN5
HEXA 	GSS
UBE2G2 	FDX1
STAT1 	STK10
DCLRE1B 	KIF2C
PSIP1 	F2R
DUSP3 	TOP1
TNRC6C 	TCEB1
BBOX1 	SULT1A4
CA3 	SULT1A3
APEX1 	DUSP22
PREX1 	PTPN13
PSMG3 	SYT1
ESR1 	AKR1C1
BCL2A1 	RNF31
SULT1E1 	TRPV4
RANBP2 	MINA
MBD4 	GRB14
RPS27A 	HDGFRP2
MBD4 	RAB9B
CSTA 	PEBP1
SEC13 	OSTF1
NANP 	MCEE
GRK6 	HS3ST3A1
STS 	FGD5
KDM4E 	LNX1
CLOCK 	PEX19
GGA2 	AADAT
CCM2 	BPIFA1
B4GALT1 	GPD1L
SERPINA12 	PDLIM4
RAB8A 	VRK3
BLVRB 	PIK3R2
MERTK 	RAB8A
DSP 	CHMP5
GPD1 	NVL
ZNF217 	SETD2
HMOX1 	RXRB
CYP2C19 	GIMAP2
MMACHC 	H2AFY2
FTL 	PTPN4
TRPV2 	PTPRB
ESR1 	NADK
CDA 	BAZ2A
ING1 	FOXP2
CYP2C19 	FGFR3
RFXANK 	STK24
RBBP4 	SNUPN
ETFB 	OBSL1
RGS6 	RRAS
GMPS 	DPY30
MALT1 	CUL4B
PDCD4 	DDX3X
UGDH 	OGT
QSOX1 	LNX1
CLIC3 	EXOG
VPS26A 	ITSN1
RRAS 	GGA2
EPHA7 	BCL2L2
RAB2A 	HSD17B8
UBE4B 	ZBTB32
TCEA1 	CASP6
RNPC3 	THYN1
TAF13 	APP
ACOT12 	NCF4
MCFD2 	APPL1
CDC20 	BCAR3
RPS6KB1 	RGN
DAXX 	SYMPK
PRPSAP2 	PPP2R4
KIF11 	PCTP
USP4 	DUSP5
CDON 	ADK
SRP54 	GOLGA4
BRD4 	IL13RA1
POLR3C 	LGMN
RPS6KA1 	NANP
PTS 	GIMAP1
TPST2 	FAHD1
ARHGDIB 	SAR1A
CCNT1 	RNASEH2B
ANKRD27 	CTNNA1
BBOX1 	RASGRP1
SMARCA4 	PTS
ETS2 	NCF1
DCTD 	FGFR3
ERI1 	FKBP3
CAMK2G 	PICK1
MIOX 	SFN
CAT 	SULT1A2
CAPN9 	MDM4
MUT 	ST6GAL1
SMYD3 	SULT2B1
SHARPIN 	CCDC101
FGFR2 	G3BP1
INPP5B 	PDE8A
CASK 	PIK3C2A
RAB5B 	JUN
ALDH5A1 	NFASC
GPX4 	MX1
FGFR1 	PLEKHO1
ASRGL1 	SNF8
MYCBP 	MAD2L1
TGS1 	TNFSF15
HSPA6 	LRP6
DCLRE1A 	TATDN1
QSOX1 	COTL1
PLK1 	DECR1
RAB8A 	SETD1A
LY86 	PPP1CC
CAMK1 	ARF5
CAMK2G 	CHMP5
ERBB2IP 	MAT1A
PSPC1 	CD81
GAS6 	NR1D1
TSG101 	CPSF4
SUPT4H1 	GABARAP
ROR2 	PTEN
TRPV2 	ERH
MAP2K6 	CYP1A1
GAPDHS 	WARS
GFER 	MACROD2
SULT1E1 	WEE1
GTF2F2 	NCF4
EPHB4 	FNTA
LIN28B 	NFKB2
RGS7 	BRIP1
EPB41L3 	PTPN23
CALM2 	CHEK2
AHI1 	SENP1
PRPSAP2 	NCR3LG1
PDE6G 	RMI1
TNPO1 	PAICS
HSPA2 	PBRM1
DECR1 	SENP1
TXNDC12 	RAP2A
HMGCS2 	GRB7
YWHAH 	BACH1
CTDSP1 	CTSK
ATIC 	MMP10
ARHGAP9 	HSP90AB1
TIA1 	PGLYRP4
RPL30 	QPRT
TNFSF15 	PTPN14
RHEB 	PPARG
FHOD1 	HSP90AA1
GINS2 	CSAD
STAP1 	EIF4E
HOGA1 	FADD
PEA15 	DNAJC3
TASP1 	PLXNB2
RPS6KA3 	TAF12
CD274 	ACVR2B
SH2D1A 	IHH
HDDC3 	PRPSAP2
CD207 	APOBEC3C
UBE2G1 	CSTA
OGT 	B3GAT3
SULT1C3 	IL20RB
SMAD2 	SULT1C2
DNM1L 	CALM1
ARG2 	NPC1L1
SPAST 	ECE1
ADAT2 	STAMBPL1
OCLN 	NDC80
TUB 	PTPN3
NR2C2 	KRAS
FSHR 	CD2
AOC3 	SACS
CHMP4C 	UBE2Q2
RASA1 	BRD1
MSN 	FSCN1
SEPT3 	BMX
AFF4 	TLN1
CDKN2D 	PHF21A
GORASP2 	HINT2
PNP 	GSTA2
NFE2L2 	ZFPM1
TRMT10A 	PPP2R3A
FGF20 	ZWILCH
AKAP10 	DPYSL5
UBE2U 	SMS
SYTL2 	SUV420H2
S100A2 	CYP2C19
DNMBP 	ROCK2
PLEKHB2 	TDRD5
ARF1 	CLEC4M
MAT2B 	ARL6
SNX3 	FKBP1A
KDM1A 	ZRANB2
STAP1 	SPIRE1
IL10RB 	SNX9
RALGDS 	ROCK2
MAD2L1BP 	FLNC
TOM1L1 	PTGDS
TK1 	HMOX2
ME2 	PDCL2
RANBP1 	CWC27
RUVBL1 	SFN
MAPKAP1 	TNFRSF6B
MERTK 	RRAS
MAP3K5 	PDXK
LGALS2 	MDC1
CHI3L1 	ACVRL1
RMI2 	DDAH1
GSTM2 	METAP2
THRB 	TK1
HARS 	PPP5C
ACAT1 	TAF9
CST7 	WRNIP1
DYNLL1 	DHX9
PCID2 	PPIE
DCLRE1C 	SSH2
GCC2 	SNF8
ETFA 	GTF2B
CD81 	POLH
GPC1 	HNMT
MCL1 	SDS
FAM96A 	PTPRN2
AIF1L 	RFXANK
KAT2B 	NFASC
S100A13 	SNRPD2
GRASP 	MTMR2
GADD45G 	NR3C1
CRYM 	RXRB
AMPH 	KDM4A
JUP 	DUSP22
PTRH2 	PTPN3
MYBPC3 	ARG1
DUSP14 	B3GAT2
TXNDC5 	TAB2
IL18 	FGD5
ACACB 	IFIT1
DNMT3L 	BPTF
LGR5 	CALR
ITPA 	UPF2
CSF2RB 	AGO1
IGFBP1 	GGPS1
POLRMT 	PAK6
BRD1 	S100A3
AIFM1 	RPA2
GYG1 	USP8
RTF1 	SULT2A1
RAB11FIP3 	GSTP1
MAPRE1 	FKBP3
TERT 	RAB9A
THOP1 	ETFB
PHF20 	TLR3
SOCS2 	UCHL1
SRXN1 	KARS
MTMR2 	CRYM
CELF1 	FDFT1
MRE11A 	IRS1
ITPA 	MMACHC
PTPRM 	UBE2L3
PDZK1 	GTF2B
HMBOX1 	NUDT9
ACOT4 	RARB
ADK 	SYK
TRAPPC6A 	KDM8
FH 	KIF16B
NT5E 	PTGIS
BID 	ANLN
GRIN1 	ITGB7
LGR5 	SYNE1
ERAP1 	PCK1
DLC1 	SMURF1
NCBP1 	CYP11A1
ATG4B 	TLN1
ZFYVE9 	RBM25
PPIP5K2 	HCN2
MMP13 	HHIP
LEPR 	PLCB2
BRPF1 	USP15
RPL10 	MAPK12
APEX1 	TOM1L1
CDON 	PSMF1
NOTCH1 	MASP2
IDUA 	CPSF4
BRD1 	TRAF4
FHIT 	ODC1
ARL5A 	STAU1
CHI3L1 	PGAM1
HSPA8 	ACTL7A
DUSP10 	INPP5B
DCLRE1A 	AGR3
XRCC6 	RAB27B
PTPRD 	ARL2
UROD 	XPO5
KCND3 	GADD45G
MET 	TRAPPC6B
OARD1 	PTPRN2
STRADA 	DHH
RBKS 	FYN
PDLIM2 	GFPT1
SENP8 	SNRPD1
TOP1 	FAHD1
PIWIL2 	CLIC2
MECP2 	RBKS
PSAT1 	UXS1
ATL1 	SFN
CKS2 	HDDC2
SH3BP5 	BIRC7
CD74 	RUVBL1
MMP13 	CBLC
PIAS2 	PRNP
ANAPC10 	MYNN
LONP1 	TERT
SMYD2 	TIAM1
NIP7 	L3MBTL1
STAP1 	PPARG
MASP2 	ACACB
DYNLRB1 	PTP4A1
CA8 	RGS3
GBE1 	IPO13
SNX17 	PAK2
RAB7A 	FCRLA
CAMK1 	CD300LF
USP15 	MUTYH
DCC 	GAS6
CSNK1G1 	ASB9
PLA2G16 	PCNA
GUSB 	COPS5
TAX1BP3 	ARNTL
HDAC1 	TAF1L
ACE2 	DUPD1
CDC20 	TBC1D1
OTUD5 	SNRPD3
TXN 	DCAF5
TP53I3 	CISD1
APOA4 	MAPK1
SOX9 	NEU2
ITCH 	MAPK12
PTPN1 	DUSP22
MAPK8IP1 	PEX5
HIP1 	RECQL5
PDCL2 	TBX1
SLK 	CBL
PALB2 	BTF3
PDIA3 	GBE1
ACADVL 	UPP2
GLIPR2 	GSPT1
S100A9 	TBRG1
CACNA1S 	PAPSS1
CSNK1G2 	PARG
C11orf30 	JUP
SREBF2 	EIF2B1
TRAPPC6A 	TRIM33
PTGIS 	PAK2
DUSP18 	XDH
ACADS 	TSTA3
PVRL2 	PBRM1
ZDHHC17 	SERPINB5
EIF4E2 	RALGPS1
SRPR 	SIRT2
PDIA6 	SAT1
RRAS 	RHEB
MAP1LC3C 	TDG
KIF1C 	RFXANK
NCOA3 	KIF1C
RFXANK 	TRPV4
NET1 	MAFA
ATIC 	PAH
CHD1 	PIK3CG
ATAD2 	TATDN3
CD44 	MAGEA4
DPF2 	PDE6D
NMNAT1 	MARK2
ANKRD27 	SH3BP5
GNPDA1 	PRMT5
OSTF1 	CISD2
MTA1 	GRK6
ABCB10 	PHYHD1
POLD2 	HSPA1A
ADPRH 	NDEL1
ALDH1L1 	MAPK13
FTL 	MTERFD2
PSMD7 	ANGPT1
PDE4A 	CCNC
ARHGEF4 	GRB10
TKT 	PLXNA2
H2AFY 	RALGDS
NDEL1 	RAD51
EIF4A2 	NNMT
CTNNBIP1 	VTI1B
CDKN2C 	AMD1
WRN 	PRMT6
NUMBL 	KLRG1
RTF1 	SYNE2
VPS16 	HIP1
MMP9 	STX10
CACNA1C 	AIMP2
SIRT1 	ADSL
TSNAX 	SHFM1
NMRK1 	ACADVL
PPIG 	FIGNL1
PARP2 	ELAVL1
STK32A 	RPA3
SEC14L2 	CAPN2
RAB26 	GADD45G
GRIA2 	ZHX2
RCC1 	DHRS4
CENPB 	WEE1
RAB11FIP2 	SIRT5
BDH2 	MECP2
PSMG3 	SUMF1
TNFSF14 	NUDT5
HEXB 	CPSF4
MGAM 	SMARCA4
PDIA6 	PABPN1
S100A6 	GFRA3
SOX9 	ZBTB16
GEMIN7 	SULT1E1
ING1 	PTPRB
GRK6 	NT5E
DAPK1 	CLEC4M
NCF4 	HAGH
NR1D1 	TOP1
UBR5 	UNG
DYRK1A 	BAIAP2
CYP2C19 	SPHK1
AP1G2 	CUL3
DCC 	BRCA1
OAS1 	CDK6
MBD4 	SRR
MMP10 	ATAT1
GLMN 	NMT1
IMPA2 	NEK7
NEBL 	ADORA2A
PKM 	HSD17B8
CYP2C8 	ERI1
VAMP2 	RALGDS
CRYBA4 	RRAS
MAP1LC3A 	PLXND1
TIA1 	MEFV
RHPN2 	NT5C2
APRT 	EPHA1
BRK1 	APBB1
CKS2 	BCL2L2-PABPN1
ADA 	CNOT6L
PDCD1 	LRP8
SIRT5 	HSPA1L
TPI1 	TNFRSF17
EFNA1 	RPS6KA3
DGUOK 	ASH1L
OXSM 	ZC3H12A
CLIC3 	GRB10
TAL1 	CHIA
SEC23A 	MAD2L2
GSTO2 	CAPN7
BRCA2 	PAK6
RGN 	SCOC
RAD52 	CASC3
RBM8A 	REM1
FKBP2 	COL1A1
RPRD2 	IFIH1
RAB43 	RAB9A
AUH 	SIRT3
PALB2 	ARSB
PIR 	RUVBL1
CD180 	PAIP2
FHOD1 	UEVLD
RAP1GAP 	MAP3K2
LXN 	DPYSL5
RPRD1B 	IL13RA1
NAALAD2 	PCID2
BDH2 	CBX1
IMPA1 	COL10A1
IGF1R 	HBA1
KIF2C 	SUMF1
RPL30 	EPHA7
BTF3 	TRAPPC6A
HCN2 	CST7
PTGDS 	MMP10
NFATC2IP 	TRDMT1
KIFC1 	TIRAP
UCHL1 	PAK7
ROCK1 	HAAO
HNRNPL 	EPHX2
RAB26 	CYP11B2
DUSP3 	CA3
PDE10A 	GPT2
LCK 	CLIP1
FBXO4 	PHKG2
JMJD1C 	HS3ST5
ADAR 	ABHD14B
TAB1 	DDC
DUSP19 	HAO1
NPM1 	NUDT3
TK1 	CDY1B
SYTL2 	MAPK7
TNFSF14 	CPSF6
TREX2 	CHMP3
CLEC1B 	NCF2
ZC3HAV1 	HK1
BUB1B 	GPD1
IGBP1 	IL1RAPL1
GEMIN6 	KCNQ1
VRK3 	AMPH
SEMA7A 	CA13
KLRD1 	ARL5B
PPM1A 	CCDC8
NFYC 	BLVRA
KMT2A 	DDX18
GEMIN2 	NFYC
ARHGEF11 	UGDH
BHMT 	DOT1L
ARL5A 	TNFRSF13B
CA7 	SLC3A2
MEFV 	ECHS1
PEX3 	AUH
CYP3A4 	MS4A1
CAMK1D 	GCC2
RRM1 	EZH2
B3GAT3 	EIF4E
CDKN2D 	AIMP1
APRT 	RGN
KIFC3 	TRAPPC6A
UBE2G1 	PTPRF
RANBP1 	GTF2H5
CDC25C 	VIM
KDM4C 	DSP
RAPH1 	ADH4
TRIM72 	VRK3
STS 	NR1D2
RBKS 	RCVRN
GPX3 	XIAP
WDR77 	KLRC1
KAT2B 	PLA2G7
PIK3CA 	PWWP2B
LCN15 	RANBP1
FAHD1 	CA7
SCO1 	RAB11B
MTOR 	CASP6
RNF146 	CA8
PSMG3 	TCF3
DUSP9 	PSME1
RORC 	POLH
ANKRD27 	TP53
CD209 	SYNE2
PELI2 	BSG
UBE2K 	EYA2
NHP2L1 	KCNJ4
MTOR 	GLRX3
AIF1 	HSPA6
CHMP3 	NACA
PRIM1 	IFIT2
FCGR1A 	EHMT2
UBE2S 	SULT4A1
DCLRE1B 	YWHAH
DHPS 	TBC1D20
BIRC7 	DESI1
ODC1 	OTUB2
HIBADH 	SPTA1
DAPK1 	SRSF1
SULT1C2 	KIF9
SRC 	LIN28B
SNRPD2 	DCK
CLCN5 	PTPRG
GART 	IQGAP3
SPIN1 	RNASEH1
CLEC9A 	BCL2L11
DDX39B 	LGALS2
NHEJ1 	NUDT21
FLT3 	PTPN14
CNOT7 	TNIK
CYP11A1 	CHMP3
ARNTL 	HDDC2
NACC1 	TRIM72
FUT8 	NMNAT1
PLCG1 	SUN2
RAB3B 	UBE2S
PHKG2 	JUND
FAM96A 	SUPT4H1
RHEBL1 	OCLN
TEAD2 	PUM1
MAD2L1BP 	BTK
MACROD2 	HAGH
RABEP1 	C3
REM1 	RGS6
VPS33A 	IGF2BP1
DRAP1 	FCN1
CD81 	RHOD
MGAM 	SULT1A4
GTF2F1 	ACSM2A
EGLN1 	TRPV4
PDIA6 	SETD1B
EIF4G3 	NR1I3
SERPINE1 	DCTN1
MTPN 	EPHA4
HUWE1 	RRAS
MITD1 	HK2
PDE10A 	DDR2
THOP1 	PCBP1
PPM1B 	RNASEH2B
S100A3 	SKIL
MEMO1 	CBL
PPWD1 	STK11
BRD4 	PARP2
SMS 	RIN3
JMJD6 	DESI1
BRD1 	MUT
KCTD5 	ZBTB33
PASK 	FSCN1
ARF6 	EYA2
CHMP1B 	RAMP1
CDY1B 	GNPNAT1
PDXK 	SNX17
GSTO1 	CRHR2
OXSR1 	MVD
TAF1L 	DPP3
ARHGAP35 	NEK1
RNF43 	EIF4G3
HNRNPL 	CNTF
LGALS8 	TDP1
RGS2 	ANXA8
CBX2 	MAPK8IP1
BAX 	B4GALT7
UPP1 	RHOC
PRSS8 	FBXL5
PARP12 	CYP1A2
SNRNP200 	FOS
NADK 	AUH
HGF 	PSPC1
PARP12 	SNX3
SNRPD1 	NT5C
SIGLEC7 	OCLN
GRHPR 	GUCY1A3
ASB9 	PA2G4
ITGA4 	RHEBL1
TRADD 	RILP
EPHA1 	SIRT3
EIF2B5 	REV3L
GAS6 	GRIA2
BMX 	CUL4B
NEU2 	PTPRR
NCOA3 	QPRT
ITGB7 	HOGA1
ADAMTS5 	FABP5
HHIP 	DRAP1
ANKRA2 	ZC3HAV1
STAT1 	PPIE
NMRK1 	NSUN5
BECN1 	MAPK13
CTSK 	FLT4
PTPN3 	ITGA4
ARF6 	FEN1
PRPSAP2 	GALNS
YES1 	AIF1L
PNPO 	HIBADH
INSC 	NPM2
PDCL2 	GCKR
TBC1D1 	SGOL1
PATL1 	RNF41
MBD4 	ECE1
SPSB2 	GORASP2
HIF1AN 	DYNLRB1
CSAD 	MAPK14
KIF11 	TPI1
PDE4C 	OARD1
SULT1E1 	TDP1
AXIN1 	TCL1A
AP4M1 	UROD
NCOA1 	RAB9A
PNPO 	ACAP1
UBQLN3 	UBQLN3
EEA1 	MAT1A
SNUPN 	HSDL2
UBE2D1 	FES
ENPEP 	TPRKB
PDE6G 	SEC24A
SMN2 	IGF2R
AURKB 	KRAS
CFL1 	TAF13
DUSP26 	SRM
STK24 	FAM96A
DCK 	SPTA1
CBX3 	PTPRR
TLR2 	PASK
MARK2 	CYLD
POLH 	GRB2
NUDT6 	MLH1
SPIRE1 	PKLR
ACSM2A 	TNFRSF1B
TBC1D7 	ANLN
FHOD1 	YWHAQ
IL22RA2 	SMN2
WDYHV1 	KRT14
MAD2L2 	NSUN4
MYLK4 	ERN1
MAT2B 	INSC
CHIA 	GOPC
KDM4E 	GTF2A2
ECHDC3 	GIMAP1
FYN 	TSTA3
ALK 	SLC4A1AP
AP4M1 	LIG1
PTPRG 	SIGLEC7
INSC 	LGALS3
CTH 	DYNLL2
LIG4 	FKBP4
TERF1 	FIGNL1
CACYBP 	CALCOCO2
TREX2 	L3MBTL2
STAT1 	RRM2
PABPN1 	ANKRA2
DLC1 	UBE2L3
S100A3 	ADK
NPM1 	ST6GAL1
B3GAT1 	CLIC1
OXSR1 	FKBP3
RB1 	UCK1
PALB2 	PPM1A
SERPINB2 	XRCC6
BPGM 	GSG2
PAK6 	TBRG1
GLS2 	SYK
NFASC 	ACAP1
SLK 	RPL30
KMT2A 	AQP5
NDNL2 	SARS
PARK7 	KIFC1
STAMBPL1 	CDC25B
DDB1 	SPSB2
YWHAZ 	GSTK1
GUCY1B3 	MUT
ASB9 	CASP7
DDX19B 	CCNK
RPRD1B 	RAB25
KMT2C 	PLEK
ERBB2IP 	ARG1
IKBKG 	DGUOK
DCXR 	PDK3
DDX52 	LRP6
CELF1 	RHOC
DPYSL3 	LONP1
ZBTB7A 	FLNB
THYN1 	GGA3
WARS 	IL20RA
PTPRK 	PTBP1
NTRK3 	PDLIM7
DAXX 	SNAP25
DPYSL3 	CLIC1
PIK3C2A 	DHX58
MYOM1 	GAN
RAB11FIP3 	HUWE1
GSTT2B 	PHPT1
CTH 	ETV1
CLIP1 	OXSR1
CSTA 	PAIP2
HMBS 	RNF2
ADAMTS1 	BARD1
DKK1 	HMBOX1
KMT2D 	POLR2G
PRPSAP2 	USP8
CD69 	AOC3
GRIA2 	AKR1D1
KIF23 	RGS6
MAPK13 	CLEC1B
SUPT4H1 	HSPA1A
EPHX2 	SRSF1
TOPBP1 	PIR
MAPRE3 	PEX3
CHIT1 	NEK9
GHRHR 	MASP2
BRAF 	GIMAP1
TNFRSF10B 	BTBD2
RANBP3 	TLR4
RAB11FIP2 	GNB2L1
DOCK1 	GIMAP1
DPYS 	IL22
ANGPT2 	ATAT1
NCR3 	VPS29
GRIN1 	ANTXR1
PTPRK 	GOLPH3
ACTN2 	THRA
CKMT2 	EZR
DHX8 	NDEL1
STK24 	GRB7
THBS1 	PDIA4
ACVR2A 	PPME1
CDK9 	CDCA8
PRKG1 	NHP2L1
TBC1D7 	CYP1A1
VWF 	CCNA2
CDC26 	PUS1
ZFPM1 	MUM1
GTF2F1 	GGPS1
CD300LF 	SNRPG
AGO1 	CCND1
UPP1 	CHMP1B
MAN1B1 	PLEKHA3
LGALS8 	BRAF
ESR1 	LYPLAL1
BRIP1 	RRAGC
CHN1 	CRYBB3
HTRA1 	HDHD3
TRIM72 	FGFR1OP
RNPC3 	SCOC
HS3ST5 	SETD1B
DUSP15 	FLNC
CDK9 	RPS6KA3
PDE4A 	S100A2
FBXL3 	GATA3
SHMT1 	NXF1
TTC5 	RASGRP1
NACA 	PYCR1
CPSF6 	EDIL3
LMAN1 	VEGFC
TRAPPC4 	YY1
TNNT2 	NUP35
PPP2R3B 	USH1C
NT5C2 	KIFC3
PSMG3 	PPP5C
ANAPC10 	AGAP2
NBR1 	CBFB
PDE8A 	CSNK1G2
PKM 	FLNB
SKAP1 	NDST1
PTPN11 	VAMP2
ACOT11 	GPX8
TBCA 	ITGA4
PRCP 	SAT2
RNASEL 	CLK3
FKBP14 	DARS
PLXNC1 	DUSP14
DUSP22 	TIGIT
MEMO1 	SENP8
NCR3 	MVK
ADAR 	SCMH1
BMPR2 	PRSS8
FABP4 	S100A9
PPP5C 	EDIL3
RABGEF1 	LGALS9
UCK2 	SMURF1
NONO 	RUNX1
VHL 	FCRLA
LGALS2 	PPIG
UBQLN3 	UPF3B
ADH4 	SYTL4
NRP2 	POFUT2
RNF128 	RASL12
ADAM8 	MIF
DDX25 	GSTT2
FLT4 	IDO1
CLIC2 	PHYHD1
TLR4 	PMAIP1
CD209 	IL13RA1
GLYR1 	MMP13
GUCY1B3 	CDC14B
JUN 	U2AF2
GLTPD1 	HIST1H1E
PLCG1 	GEMIN7
VDR 	SGK1
PKMYT1 	NF1
HSD11B1 	CDKN2D
FSCN1 	PDLIM4
AIFM1 	SPTA1
SREBF1 	SNRPF
AKR1B1 	CNOT6L
TNFRSF13C 	ALDH1L1
ETFA 	MMP16
SENP2 	PASK
RBL1 	FGF9
CDKN3 	MTERFD2
NR0B2 	VEGFC
PAIP2 	SMS
KIF1C 	CWC27
CRTAM 	FGFR1
MMAA 	INPP5E
DESI1 	NLRP4
HSCB 	TNFRSF13B
DDX47 	CALCRL
FGF9 	GTF2H5
ECHDC3 	STK3
DLG1 	FNBP1
SRP54 	FLCN
UMPS 	LONP1
NCKAP1 	CPOX
ASH1L 	NT5C2
PREP 	PAIP2
ACVR2B 	MAT2B
FNBP1 	NR1D1
PTPRR 	ACVRL1
PTPN23 	CBX4
ME2 	CYP11B2
KMT2C 	NHP2L1
CDC42BPB 	CLOCK
MAST1 	FGF4
ABCB10 	PGD
ACVR1 	GP1BA
GMPR2 	CCNC
FASN 	MAT1A
ALDH4A1 	SULT1A1
GOLGA4 	ANXA6
NRAS 	LGALS8
ACO1 	HSD17B10
PRKAB2 	ARNT
TRPV4 	PIP4K2C
DAPK3 	TAL1
STARD5 	IFIH1
S100A16 	USP2
TXNL1 	NAMPT
ADAMTS13 	SULT4A1
ACSS1 	NDOR1
RAB5A 	SPINT1
CAPN2 	RNPS1
TXNRD1 	SF3B14
CLIC3 	TIRAP
CDCA8 	DCK
STRA13 	RAMP2
MVK 	DVL2
ACAP1 	FABP4
SIRT1 	PSAT1
CHEK2 	NAGA
ZRANB2 	BBOX1
TMEM173 	ENPEP
HSPA1L 	RNF2
CLCN5 	NEK2
FDPS 	PAICS
CALM2 	PTPRD
KCND3 	PHF2
SNX14 	NNMT
GLRX5 	PTPN13
RAB5B 	CCS
SKP1 	CSNK1G1
COPG1 	LHPP
RAF1 	PCYT2
OGT 	RAB8A
KAT6A 	CPSF6
SERPINB1 	GTF2H5
DNAJC3 	CD180
STK24 	IL22RA2
SLC3A2 	PVRL1
GSTZ1 	DNAJB1
LGMN 	EZH2
PUM1 	FSHR
SEPT3 	MMP14
ATF4 	TP53BP1
SH3KBP1 	TP53I3
PKD2 	HK2
MYLK4 	NFE2L2
DNMT3B 	C4BPA
DKK1 	HSPA1B
PHF21A 	OLR1
CDC26 	GFPT1
C12orf5 	MIF
HOMER3 	RADIL
YARS 	CEP55
CD69 	GRM7
G6PD 	ARTN
ALK 	HTATIP2
COL1A1 	CDK9
KYNU 	PBRM1
RAB5B 	DOT1L
FABP4 	METAP2
SLC4A1AP 	GGA2
CDK8 	FCER2
CDC34 	MYLK4
STARD5 	FANCL
PRPS1 	TNRC6C
BCL2 	NAGA
COL4A3BP 	KDM6B
STAMBP 	XRCC6
FGFR3 	GCK
TOP2B 	KDM2A
HSDL2 	RHEBL1
TIMM44 	CRYBB3
LCN15 	PLA2G4A
USP15 	FEV
DDX3X 	PTPRG
RET 	RASEF
NUDT16 	CDKL3
CSNK1D 	AGR3
ZBTB48 	NEK1
GRB10 	RARG
PNP 	KCNK9
PTPRZ1 	TXNDC12
TXNRD1 	IGFBP1
GRM1 	HDAC4
RYR3 	MPP1
CPOX 	RAMP2
HAAO 	PRDM9
PCBP2 	KDM2A
CBLC 	PPP2R3B
NUDT14 	FLNA
ABI2 	ETS1
ITPA 	NUDT1
HRAS 	GPT2
DECR2 	CCNDBP1
ANXA8 	FNTA
MINA 	EIF4G3
NDNL2 	AIP
STIP1 	GEM
B3GAT2 	IST1
GRM1 	SSU72
EXOG 	CNOT6L
PTPRR 	SLC9A1
KAT2A 	DAPK1
TPK1 	BPNT1
MAP1LC3C 	CLCNKA
PHF1 	OXCT1
CTDSP2 	PDIA4
TFDP1 	GCK
MAPK11 	MLH1
PDZD3 	RABGEF1
HK3 	MAPK6
TAF5 	NGLY1
RAD23A 	KLRK1
AURKA 	SLC9A3R1
PPOX 	PTPRG
STX10 	PHF20
MLYCD 	TNFRSF10B
PTPRO 	RHOU
PTPRB 	STAMBPL1
PHF13 	GORASP2
CSNK1G3 	CPSF4
PCBP2 	BCR
GART 	PPT2
BUB1B 	DARS
LMNA 	FGF19
PAPSS1 	LDB1
ELAVL1 	MVD
PDLIM5 	CDK2
INADL 	PRPSAP2
FMN2 	USP21
DCUN1D1 	APC
GABBR2 	BMPR2
RANBP3 	IQGAP1
HUS1 	NNMT
FGF9 	CRYL1
ZDHHC17 	OCRL
CD209 	AKR1C1
GRB7 	METAP2
RXRA 	ACSS1
PATL1 	MAP2K4
TXNL4B 	AKT2
BACE1 	POLL
AXIN1 	RAB11B
PLAA 	MAD2L2
SSH2 	MYH7
LRRFIP1 	SPON1
NT5C 	DYNLRB1
PEX19 	LANCL1
RAD18 	SNRPD2
AP2B1 	STAMBPL1
KCNJ4 	PPT2
KIF1A 	MCTS1
PARN 	CARHSP1
TAF1L 	SKI
SETD1B 	OTUB1
HDHD2 	STRA13
FKBP4 	KAT2A
PEA15 	CYP2R1
NUDT1 	ALDH1L1
VPS25 	ACOT4
JUND 	CSNK1D
CAMK2G 	PRDX2
ACAT1 	APP
AADAT 	ENO3
LAIR1 	BTK
HMBS 	CACYBP
TLR10 	PPIF
BTLA 	RALGPS1
PTPRF 	CRTAM
PRKCE 	ZFYVE9
PDE5A 	FGF9
DCTN6 	SERPINI1
MRI1 	PDIA4
AKR1C2 	ATG4B
VHL 	TDRD3
SET 	FOXP2
RNGTT 	GLRX5
VASP 	TEN1
EEF1E1 	BPIFA1
PRCP 	HSD11B1
RTN4IP1 	SOCS4
GNAI3 	HK3
LACTB2 	OLA1
CAB39 	TNKS2
MYCBP 	GGA2
MGLL 	ARF4
NOTCH1 	MYNN
TRIM33 	GOPC
RTN4R 	USB1
SYNE1 	CHKB
MAOB 	RBBP9
PPIP5K2 	PBRM1
DHX8 	HIP1
SULT1C4 	PCTP
PCID2 	PTPRJ
CAMK1D 	TRIM72
BRMS1 	RET
BCAR3 	E2F1
PRKCE 	NCF2
SHFM1 	PUF60
TARS 	ARF1
FNBP1 	KDM5A
PTPN3 	HEXB
PTPN23 	FGF13
TOP2B 	INCENP
MMP2 	NFE2L2
WRN 	FCGR1A
RHOU 	ADAM33
ERCC3 	TBC1D22A
ELAVL1 	ZBTB48
MET 	HAGH
RNASEH1 	NEDD4L
NACC1 	HK1
GLRX2 	RALGPS1
NAGA 	SNRPD1
MMAB 	PTPRK
SDSL 	TATDN3
HIST1H1E 	QPCT
RPA3 	RRAGC
SETD1A 	TNFAIP6
